Course Code,Course Name,Instructor,Department,Day,Time,Room
ARC101,Architectural Design Studio I,Dr. Youssef Rashad,Department of Architecture & Design,Wednesday,4:20 PM - 5:50 PM,D-102
ARC102,Architectural Design Studio II,Ms. Hala Abou-Zeid,Department of Architecture & Design,Sunday,8:00 AM - 9:30 AM,D-103
ARC201,History of Architecture,Dr. Youssef Rashad,Department of Architecture & Design,Tuesday,2:40 PM - 4:10 PM,D-104
ARC210,Building Materials & Construction,Mr. David Marzouk,Department of Architecture & Design,Wednesday,2:40 PM - 4:10 PM,D-107
ARC220,Structural Systems for Architects,Eng. Khaled Hegazy,Department of Architecture & Design,Tuesday,9:40 AM - 11:10 AM,D-110
ARC301,Urban Planning Principles,Mr. Mostafa Wahba,Department of Architecture & Design,Wednesday,8:00 AM - 9:30 AM,D-112
ARC310,Interior Design Studio,Ms. Nadia Shaker,Department of Architecture & Design,Wednesday,11:20 AM - 12:50 PM,D-114
BME101,Introduction to Biomedical Engineering,Mr. David Nour,Department of Biomedical Engineering,Monday,11:20 AM - 12:50 PM,A-102
BME201,Human Physiology for Engineers,Eng. Mohamed Daoud,Department of Biomedical Engineering,Tuesday,4:20 PM - 5:50 PM,A-104
BME210,Biomedical Instrumentation,Ms. Mona Selim,Department of Biomedical Engineering,Sunday,1:00 PM - 2:30 PM,A-105
BME220,Medical Imaging Systems,Eng. Mahmoud Fathallah,Department of Biomedical Engineering,Tuesday,11:20 AM - 12:50 PM,A-106
BME301,Biomaterials,Dr. Peter Novak,Department of Biomedical Engineering,Thursday,8:00 AM - 9:30 AM,A-109
BME310,Rehabilitation Engineering,Ms. Mona Selim,Department of Biomedical Engineering,Wednesday,1:00 PM - 2:30 PM,A-110
MTH101,Calculus I,Ms. Fady Wahba,Department of Mathematics & Basic Sciences,Thursday,11:20 AM - 12:50 PM,B-103
MTH102,Calculus II,Mr. Sherif Bishara,Department of Mathematics & Basic Sciences,Wednesday,8:00 AM - 9:30 AM,B-104
MTH201,Linear Algebra,Dr. Mohamed Kader,Department of Mathematics & Basic Sciences,Thursday,9:40 AM - 11:10 AM,B-106
MTH210,Differential Equations,Mr. Sherif Bishara,Department of Mathematics & Basic Sciences,Wednesday,8:00 AM - 9:30 AM,B-107
MTH220,Probability & Statistics,Eng. Heba Naguib,Department of Mathematics & Basic Sciences,Monday,4:20 PM - 5:50 PM,B-108
PHY101,Physics I - Mechanics,Dr. Mohamed Kader,Department of Mathematics & Basic Sciences,Thursday,8:00 AM - 9:30 AM,B-111
PHY102,Physics II - Electromagnetism,Eng. Hassan Youssry,Department of Mathematics & Basic Sciences,Sunday,9:40 AM - 11:10 AM,B-112
CHM101,General Chemistry,Mr. Sherif Bishara,Department of Mathematics & Basic Sciences,Sunday,4:20 PM - 5:50 PM,B-113
